,Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
32,5,25-34,male,3728,1.066255,69.16,3975,17.398742000000002,14.0,4.94,0.35220100000000004,18.551502,0.0,5.0,6.0,10.0,82.0,,13.832
33,5,25-34,unknown,188,1.010638,2.98,190,15.684211,0.0,,,15.851064000000001,0.0,0.0,0.0,0.0,2.0,,
34,6,25-34,male,42688,1.354924,1013.22,57839,17.517938,524.0,1.9336259999999998,0.905963,23.735476000000002,39.0,79.0,37.0,13.0,94.0,25.98,12.825569999999999
35,6,25-34,unknown,4320,1.270602,94.43,5489,17.203498,61.0,1.548033,1.111314,21.858795999999998,5.0,7.0,2.0,2.0,15.0,18.886,13.49
36,6,25-34,female,40736,1.4006530000000001,1391.7,57057,24.391398000000002,637.0,2.184772,1.116427,34.163885,36.0,101.0,64.0,14.0,138.0,38.658333,13.779207999999999
37,6,35-44,female,31296,1.4923950000000001,1301.55,46706,27.866869,579.0,2.2479270000000002,1.2396690000000001,41.588382,28.0,79.0,100.0,21.0,164.0,46.483928999999996,16.475316
38,6,35-44,male,28224,1.3429,724.93,37902,19.126431,334.0,2.170449,0.8812200000000001,25.684878,13.0,29.0,37.0,13.0,89.0,55.763845999999994,24.997586
39,6,65+,female,0,0.0,0.02,1,20.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
40,6,55-64,unknown,0,0.0,0.05,1,50.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
41,6,45-54,male,0,0.0,0.01,2,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
42,6,35-44,unknown,1120,2.325893,53.56,2605,20.560461,32.0,1.67375,1.228407,47.821428999999995,1.0,2.0,8.0,1.0,5.0,53.56,26.78
43,6,45-54,female,0,0.0,0.01,2,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
44,7,25-34,female,903,1.0022149999999999,31.07,905,34.331492,4.0,7.7675,0.441989,34.40753,0.0,0.0,0.0,0.0,2.0,,
45,7,25-34,male,1662,1.01444,47.42,1686,28.125740999999998,14.0,3.387143,0.830368,28.531889000000003,0.0,0.0,0.0,0.0,2.0,,
46,7,25-34,unknown,75,1.0,1.9,75,25.333333,0.0,,,25.333333,0.0,0.0,0.0,0.0,0.0,,
47,7,35-44,female,1355,1.058303,54.6,1434,38.075314,15.0,3.64,1.046025,40.295203,2.0,3.0,1.0,1.0,0.0,27.3,18.2
48,7,35-44,male,1987,1.0,60.04,1987,30.216407,15.0,4.002667,0.754907,30.216407,0.0,0.0,0.0,0.0,2.0,,
49,7,35-44,unknown,46,1.326087,1.44,61,23.606557000000002,0.0,,,31.304347999999997,0.0,0.0,0.0,0.0,0.0,,
50,8,35-44,unknown,25,1.0,0.68,25,27.2,0.0,,,27.2,0.0,0.0,0.0,0.0,0.0,,
51,8,35-44,female,338,1.0,14.34,338,42.426035999999996,1.0,14.34,0.295858,42.426035999999996,0.0,0.0,0.0,0.0,0.0,,
52,8,35-44,male,548,1.005474,21.42,551,38.874773,2.0,10.71,0.362976,39.087590999999996,0.0,1.0,2.0,0.0,3.0,,21.42
53,8,25-34,unknown,30,1.0,0.96,30,32.0,0.0,,,32.0,0.0,0.0,0.0,0.0,0.0,,
54,8,25-34,male,1009,1.001982,35.44,1011,35.054402,4.0,8.86,0.395648,35.123884999999994,1.0,1.0,0.0,1.0,6.0,35.44,35.44
55,8,25-34,female,433,1.006928,18.29,436,41.949540999999996,4.0,4.5725,0.917431,42.240185,0.0,2.0,0.0,0.0,1.0,,9.145
56,9,25-34,male,22832,1.09894,703.11,25091,28.022398,283.0,2.4844880000000003,1.127894,30.794937,20.0,72.0,9.0,12.0,36.0,35.1555,9.765417
57,9,25-34,unknown,768,1.134115,22.58,871,25.924225,3.0,7.526667,0.344432,29.401041999999997,0.0,0.0,0.0,0.0,1.0,,
58,9,25-34,female,11600,1.042155,423.48,12089,35.030193,140.0,3.024857,1.1580780000000002,36.506896999999995,11.0,23.0,5.0,7.0,30.0,38.498182,18.412174
59,9,18-24,male,0,0.0,0.05,1,50.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
60,9,35-44,female,9264,1.1466969999999999,439.47,10623,41.36967,149.0,2.949463,1.402617,47.438472,6.0,24.0,14.0,5.0,42.0,73.245,18.31125
61,9,35-44,male,12736,1.120053,443.12,14265,31.063442,144.0,3.077222,1.009464,34.792714000000004,3.0,17.0,2.0,3.0,39.0,147.70666699999998,26.065882000000002
62,9,35-44,unknown,320,1.515625,15.05,485,31.030928000000003,3.0,5.016667,0.618557,47.03125,0.0,0.0,0.0,0.0,1.0,,
63,10,25-34,female,2115,1.028842,74.74,2176,34.347426,14.0,5.338571,0.643382,35.338060999999996,1.0,7.0,0.0,0.0,4.0,74.74,10.677143
64,10,25-34,male,3827,1.0,111.48,3827,29.129866999999997,53.0,2.103396,1.384897,29.129866999999997,1.0,5.0,0.0,0.0,2.0,111.48,22.296
65,10,25-34,unknown,243,1.111111,7.18,270,26.592593,3.0,2.393333,1.111111,29.547325,0.0,0.0,0.0,0.0,0.0,,
66,10,35-44,unknown,154,1.0,3.89,154,25.25974,0.0,,,25.25974,0.0,0.0,0.0,0.0,1.0,,
67,10,35-44,female,2008,1.0,78.42,2008,39.053785,21.0,3.734286,1.045817,39.053785,2.0,7.0,2.0,0.0,6.0,39.21,11.202857
68,10,35-44,male,2841,1.014432,89.22,2882,30.957667999999998,19.0,4.6957889999999995,0.6592640000000001,31.404435,0.0,1.0,0.0,0.0,2.0,,89.22
69,11,25-34,unknown,79,1.0,2.21,79,27.974684000000003,0.0,,,27.974684000000003,0.0,0.0,0.0,0.0,0.0,,
70,11,35-44,female,1039,1.005775,48.72,1045,46.622009999999996,10.0,4.872,0.956938,46.891242,1.0,3.0,1.0,1.0,0.0,48.72,16.24
71,11,25-34,male,1416,1.002119,44.89,1419,31.634953999999997,16.0,2.805625,1.1275549999999999,31.701977000000003,0.0,2.0,1.0,1.0,4.0,,22.445
72,11,25-34,female,992,1.003024,43.92,995,44.140704,8.0,5.49,0.80402,44.274194,0.0,1.0,0.0,0.0,0.0,,43.92
73,11,35-44,male,1039,1.001925,36.32,1041,34.889528999999996,7.0,5.188571,0.67243,34.956689000000004,0.0,0.0,0.0,0.0,1.0,,
74,11,35-44,unknown,45,1.0,1.06,45,23.555556,0.0,,,23.555556,0.0,0.0,0.0,0.0,0.0,,
75,11,35-44,unknown,58,1.0,1.97,58,33.965517,1.0,1.97,1.7241380000000002,33.965517,0.0,0.0,0.0,0.0,0.0,,
76,11,65+,female,1,1.0,0.07,1,70.0,0.0,,,70.0,0.0,0.0,0.0,0.0,0.0,,
77,11,35-44,male,1232,1.0,47.28,1232,38.376622999999995,9.0,5.2533330000000005,0.7305189999999999,38.376622999999995,1.0,2.0,0.0,0.0,2.0,47.28,23.64
78,11,35-44,female,844,1.0,42.01,844,49.774882,8.0,5.25125,0.947867,49.774882,1.0,3.0,2.0,0.0,2.0,42.01,14.003333
79,11,25-34,female,1036,1.007722,44.81,1044,42.921456,11.0,4.0736360000000005,1.05364,43.252896,0.0,1.0,1.0,0.0,2.0,,44.81
80,11,25-34,male,2025,1.012346,71.07,2050,34.668293,21.0,3.384286,1.02439,35.096296,2.0,4.0,0.0,0.0,4.0,35.535,17.7675
81,11,25-34,unknown,98,1.0,3.09,98,31.530611999999998,0.0,,,31.530611999999998,0.0,0.0,0.0,0.0,0.0,,
82,12,35-44,unknown,78,1.0,1.98,78,25.384615,0.0,,,25.384615,0.0,0.0,0.0,0.0,0.0,,
83,12,35-44,male,1940,1.0,63.82,1940,32.896907,7.0,9.117142999999999,0.360825,32.896907,5.0,5.0,1.0,0.0,5.0,12.764000000000001,12.764000000000001
84,12,25-34,unknown,66,1.136364,1.91,75,25.466667,0.0,,,28.939394,0.0,0.0,0.0,0.0,0.0,,
85,12,35-44,female,1298,1.030817,54.64,1338,40.837070000000004,9.0,6.071111,0.672646,42.095532,1.0,1.0,0.0,0.0,3.0,54.64,54.64
86,12,25-34,male,1696,1.023585,57.14,1736,32.914747,12.0,4.761667,0.691244,33.691038,3.0,4.0,3.0,0.0,2.0,19.046667000000003,14.285
87,12,25-34,female,818,1.0,33.19,818,40.574571999999996,6.0,5.531667,0.733496,40.574571999999996,1.0,2.0,0.0,0.0,3.0,33.19,16.595
88,13,65+,male,0,0.0,0.05,2,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
89,13,35-44,male,31776,1.312406,1319.41,41703,31.638251,629.0,2.0976310000000002,1.508285,41.522218,28.0,118.0,7.0,10.0,35.0,47.121786,11.181441
90,13,35-44,unknown,736,1.330163,28.11,979,28.712971999999997,13.0,2.1623080000000003,1.3278860000000001,38.192935,0.0,1.0,0.0,0.0,0.0,,28.11
