,Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
193,27,25-34,male,13088,1.012225,461.19,13248,34.812047,145.0,3.180621,1.0945049999999998,35.237621999999995,9.0,27.0,4.0,2.0,6.0,51.243333,17.081111
194,27,25-34,unknown,568,1.047535,18.37,595,30.87395,6.0,3.061667,1.0084030000000002,32.341549,0.0,2.0,1.0,0.0,1.0,,9.185
195,27,35-44,unknown,205,1.0,6.97,205,34.0,1.0,6.97,0.48780500000000004,34.0,0.0,0.0,0.0,0.0,1.0,,
196,27,35-44,female,2633,1.0,132.95,2633,50.493733,32.0,4.154688,1.215344,50.493733,0.0,2.0,5.0,0.0,7.0,,66.475
197,27,35-44,male,4944,1.04288,207.9,5156,40.321954999999996,53.0,3.9226419999999997,1.027929,42.050971000000004,1.0,10.0,2.0,0.0,6.0,207.9,20.79
198,28,25-34,male,4636,1.006687,155.25,4667,33.265481,26.0,5.971154,0.557103,33.487921,1.0,3.0,0.0,1.0,3.0,155.25,51.75
199,28,25-34,unknown,120,1.0,3.21,120,26.75,2.0,1.605,1.666667,26.75,0.0,0.0,0.0,0.0,0.0,,
200,28,25-34,female,955,1.0,41.16,955,43.099476,11.0,3.741818,1.151832,43.099476,0.0,3.0,0.0,0.0,1.0,,13.72
201,28,35-44,female,714,1.029412,36.81,735,50.081633000000004,6.0,6.135,0.816327,51.554621999999995,0.0,0.0,0.0,0.0,2.0,,
202,28,35-44,male,2556,1.018779,109.69,2604,42.123656,33.0,3.3239389999999998,1.2672809999999999,42.91471,3.0,5.0,1.0,0.0,0.0,36.563333,21.938000000000002
203,28,35-44,unknown,56,1.0,2.15,56,38.392857,0.0,,,38.392857,0.0,0.0,0.0,0.0,0.0,,
204,29,25-34,female,999,1.0,42.34,999,42.382382,9.0,4.7044440000000005,0.9009010000000001,42.382382,0.0,3.0,1.0,0.0,0.0,,14.113332999999999
205,29,25-34,male,2370,1.0156120000000002,71.37,2407,29.651018,19.0,3.7563160000000004,0.7893640000000001,30.113924,0.0,8.0,0.0,0.0,1.0,,8.92125
206,29,25-34,unknown,94,1.106383,2.94,104,28.269231,1.0,2.94,0.9615379999999999,31.276596,0.0,0.0,0.0,0.0,0.0,,
207,29,45-54,female,0,0.0,0.05,1,50.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
208,29,35-44,unknown,46,1.217391,2.2,56,39.285714,1.0,2.2,1.785714,47.826087,0.0,0.0,0.0,0.0,0.0,,
209,29,35-44,female,650,1.0138459999999998,29.87,659,45.326252000000004,5.0,5.974,0.758725,45.953846,0.0,0.0,0.0,0.0,0.0,,
210,29,35-44,male,890,1.0247190000000002,31.96,912,35.043859999999995,7.0,4.565714,0.767544,35.910112,0.0,0.0,0.0,0.0,1.0,,
211,30,25-34,female,898,1.0,33.53,898,37.33853,9.0,3.7255559999999996,1.002227,37.33853,1.0,5.0,1.0,0.0,4.0,33.53,6.706
212,30,25-34,male,3564,1.000842,94.83,3567,26.585365999999997,20.0,4.7415,0.5606949999999999,26.607744,2.0,2.0,0.0,0.0,1.0,47.415,47.415
213,30,25-34,unknown,116,1.112069,3.79,129,29.379845,1.0,3.79,0.7751939999999999,32.672414,0.0,0.0,0.0,0.0,0.0,,
214,30,35-44,female,579,1.0,26.72,579,46.148532,4.0,6.68,0.690846,46.148532,1.0,1.0,0.0,0.0,3.0,26.72,26.72
215,30,35-44,male,1614,1.012392,54.64,1634,33.439412,16.0,3.415,0.9791920000000001,33.853778999999996,3.0,7.0,1.0,0.0,4.0,18.213333,7.805714
216,30,35-44,unknown,70,1.0,1.89,70,27.0,1.0,1.89,1.4285709999999998,27.0,0.0,0.0,0.0,0.0,0.0,,
217,31,25-34,female,10976,1.18422,326.68,12998,25.133097,166.0,1.9679520000000001,1.27712,29.76312,10.0,28.0,28.0,4.0,52.0,32.668,11.667143
218,31,25-34,male,31200,1.19484,717.28,37279,19.240859,459.0,1.562702,1.231256,22.989744,12.0,40.0,32.0,22.0,81.0,59.773332999999994,17.932000000000002
219,31,18-24,male,0,0.0,0.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
220,31,25-34,unknown,1296,1.145833,28.84,1485,19.420875,17.0,1.6964709999999998,1.144781,22.253086,1.0,1.0,2.0,1.0,5.0,28.84,28.84
221,31,35-44,female,9568,1.218645,325.49,11660,27.915094,182.0,1.788407,1.560892,34.018603999999996,2.0,15.0,38.0,7.0,50.0,162.745,21.699333
222,31,45-54,male,2,1.0,0.07,2,35.0,0.0,,,35.0,0.0,0.0,0.0,0.0,0.0,,
223,31,45-54,female,0,0.0,0.03,1,30.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
224,31,35-44,male,19312,1.180561,478.53,22799,20.989078,262.0,1.82645,1.149173,24.778894,4.0,10.0,29.0,15.0,53.0,119.6325,47.853
225,31,35-44,unknown,480,1.645833,17.06,790,21.594936999999998,16.0,1.06625,2.025316,35.541667,0.0,1.0,2.0,0.0,0.0,,17.06
226,32,35-44,unknown,128,1.46875,5.74,188,30.531915,2.0,2.87,1.0638299999999998,44.84375,0.0,0.0,1.0,0.0,0.0,,
227,32,55-64,male,0,0.0,0.04,1,40.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
