Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
Ad Set 34,25-34,female,2043,1,37.12,2043,18.169359,5,7.424,0.244738,18.169359,1,2,2,2,31,37.12,18.56
Ad Set 35,25-34,unknown,43,1.023256,2.08,44,47.272727,2,1.04,4.545455,48.372093,,,,,,,
Ad Set 35,35-44,female,320,1.00625,13.25,322,41.149068,1,13.25,0.310559,41.40625,,1,,,,,13.25
Ad Set 35,25-34,male,936,1.016026,36.25,951,38.117771,2,18.125,0.210305,38.728632,,,,,,,
Ad Set 35,25-34,female,459,1.010893,17.78,464,38.318966,2,8.89,0.431034,38.736383,,,,,1,,
Ad Set 35,35-44,male,517,1.01354,17.32,524,33.053435,2,8.66,0.381679,33.500967,,,1,,2,,
Ad Set 35,35-44,unknown,27,1,0.8,27,29.62963,,,,29.62963,,,,,,,
Ad Set 36,25-34,female,3900,1.06359,137.27,4148,33.093057,42,3.268333,1.012536,35.197436,3,5,3,,12,45.756667,27.454
Ad Set 36,35-44,unknown,148,1.317568,6.12,195,31.384615,2,3.06,1.025641,41.351351,,1,,,1,,6.12
Ad Set 36,35-44,male,3932,1.050865,116.4,4132,28.170378,29,4.013793,0.701839,29.603255,,2,2,1,9,,58.2
Ad Set 36,35-44,female,2224,1.043165,92.04,2320,39.672414,17,5.414118,0.732759,41.384892,1,5,,1,6,92.04,18.408
Ad Set 36,25-34,male,6668,1.121476,188.65,7478,25.227334,73,2.584247,0.976197,28.291842,1,7,,1,4,188.65,26.95
Ad Set 36,25-34,unknown,460,1.069565,13.71,492,27.865854,2,6.855,0.406504,29.804348,,,,,,,
